day,date,nyhlr,high1,low1,close1,volume1
Thu,05-14-2020,0.1442,0.1442,0.1442,0.1442,0
Wed,05-13-2020,0.2222,0.2222,0.2222,0.2222,0
Tue,05-12-2020,1.4400,1.4400,1.4400,1.4400,0
Mon,05-11-2020,2.4285,2.4285,2.4285,2.4285,0
Fri,05-08-2020,5.1666,5.1666,5.1666,5.1666,0
Thu,05-07-2020,1.8000,1.8000,1.8000,1.8000,0
Wed,05-06-2020,1.2631,1.2631,1.2631,1.2631,0
Tue,05-05-2020,3.2857,3.2857,3.2857,3.2857,0
Mon,05-04-2020,0.5000,0.5000,0.5000,0.5000,0
Fri,05-01-2020,1.0000,1.0000,1.0000,1.0000,0
Thu,04-30-2020,8.5000,8.5000,8.5000,8.5000,0
Wed,04-29-2020,6.0000,6.0000,6.0000,6.0000,0
Tue,04-28-2020,7.7500,7.7500,7.7500,7.7500,0
