date,open,high,low,close,Volume USDT
2018-09-13 06:00:00,6376.37,6393.63,6372,6390.71,5114949.67
2018-09-13 05:00:00,6399.17,6407.07,6368.46,6376.37,5340123.82
2018-09-13 04:00:00,6388,6414.88,6384.88,6399.17,8122115.01
2018-09-13 03:00:00,6400,6412,6380,6388,8226942.99
2018-09-13 02:00:00,6400.05,6406.75,6380,6400,7806631.84
2018-09-13 01:00:00,6413.94,6424.85,6385,6400.05,9694835.1
2018-09-13 00:00:00,6338.62,6439,6337.4,6413.94,16269248.08
2018-09-12 23:00:00,6350,6353.48,6321.93,6338.62,7696301.49
2018-09-12 22:00:00,6312.99,6350,6303.56,6350,7590022.79
2018-09-12 21:00:00,6319.03,6345,6303.44,6312.99,7158307.29
2018-09-12 20:00:00,6312.77,6322,6297,6319.03,9589680.81
2018-09-12 19:00:00,6315.65,6337.99,6292.51,6312.77,8771134.41
2018-09-12 18:00:00,6291,6360,6283,6315.65,11532237.6
2018-09-12 17:00:00,6271.3,6318.99,6267.44,6291,9473283.42
2018-09-12 16:00:00,6269.39,6285,6261.6,6271.3,8845057.17
2018-09-12 15:00:00,6282.99,6292.77,6257.11,6269.39,7852191.74
2018-09-12 14:00:00,6295.53,6299,6263.47,6282.99,6938115.65
2018-09-12 13:00:00,6252.49,6297.24,6250.17,6295.53,8911148.86
2018-09-12 12:00:00,6243.74,6288,6243.74,6252.49,7361607.03
2018-09-12 11:00:00,6243.95,6260,6225,6243.74,5672336.83
2018-09-12 10:00:00,6254.22,6278.22,6240,6243.95,7294847.83
2018-09-12 09:00:00,6249,6265.11,6238.15,6254.22,7937221.72
2018-09-12 08:00:00,6244.94,6253.15,6192.37,6249,10495954.78
2018-09-12 07:00:00,6253.69,6266.99,6230.27,6244.94,8642251.51
2018-09-12 06:00:00,6278.5,6285,6248,6253.69,3126009.02
2018-09-12 05:00:00,6272.15,6305.05,6270.04,6278.5,8939733.9
2018-09-12 04:00:00,6260.97,6290,6252.38,6272.15,8368299.3
2018-09-12 03:00:00,6256,6268.61,6218,6260.97,6455714.0
2018-09-12 02:00:00,6266.79,6279,6231.5,6256,7553698.25
2018-09-12 01:00:00,6259.64,6281.99,6253.17,6266.79,6483109.68
2018-09-12 00:00:00,6294.91,6300.59,6259.54,6259.64,7388425.44
2018-09-11 23:00:00,6300.04,6310.84,6272,6294.91,8339921.76
2018-09-11 22:00:00,6316.63,6323.41,6292,6300.04,6191918.5
2018-09-11 21:00:00,6259.77,6320.01,6242.09,6316.63,8705163.47
2018-09-11 20:00:00,6268,6274.99,6246.47,6259.77,7554913.74
2018-09-11 19:00:00,6243.25,6288,6233,6268,6682027.23
2018-09-11 18:00:00,6244,6252.11,6186.7,6243.25,10543973.51
2018-09-11 17:00:00,6257.74,6260.76,6224.51,6244,7900225.68
2018-09-11 16:00:00,6250.63,6274.73,6234.47,6257.74,7181183.07
2018-09-11 15:00:00,6204.15,6258.49,6187.5,6250.63,10248227.99
2018-09-11 14:00:00,6288.01,6300.01,6170,6204.15,11146690.22
2018-09-11 13:00:00,6276.79,6303.29,6272.31,6288.01,11916997.17
2018-09-11 12:00:00,6283.75,6293.97,6257.87,6276.79,6862715.75
2018-09-11 11:00:00,6315.36,6322.01,6250,6283.75,10037821.28
2018-09-11 10:00:00,6339.98,6343.19,6310.54,6315.36,5412285.55
2018-09-11 09:00:00,6325,6361.29,6317,6339.98,6480030.36
2018-09-11 08:00:00,6310.19,6331.82,6301,6325,6223941.44
2018-09-11 07:00:00,6334.98,6340.92,6300,6310.19,9733227.02
2018-09-11 06:00:00,6339.35,6358.76,6330,6334.98,6483366.75
2018-09-11 05:00:00,6325.96,6348.62,6313.04,6339.35,6367813.89
2018-09-11 04:00:00,6355,6366.66,6309.49,6325.96,9315438.66
2018-09-11 03:00:00,6357.94,6384,6355,6355,5793269.49
2018-09-11 02:00:00,6392.1,6404,6341,6357.94,9723176.85
2018-09-11 01:00:00,6320.01,6392.11,6320.01,6392.1,9341152.5
2018-09-11 00:00:00,6312,6346.93,6289,6320.01,7063170.5
2018-09-10 23:00:00,6292.25,6320.58,6287.67,6312,8531783.25
2018-09-10 22:00:00,6295.81,6300,6267.46,6292.25,6175112.16
2018-09-10 21:00:00,6310.47,6321.8,6286.28,6295.81,5296717.62
2018-09-10 20:00:00,6296.73,6317.15,6275,6310.47,9855976.63
2018-09-10 19:00:00,6279.46,6305,6274.43,6296.73,9089451.85
2018-09-10 18:00:00,6260.11,6291.88,6241.15,6279.46,8564708.48
2018-09-10 17:00:00,6262,6280.01,6240,6260.11,9103887.47
2018-09-10 16:00:00,6295.74,6300,6221,6262,11667925.17
2018-09-10 15:00:00,6311.87,6315.35,6282.06,6295.74,7925718.4
2018-09-10 14:00:00,6301.14,6346.99,6296.99,6311.87,9135779.26
2018-09-10 13:00:00,6296.98,6312.94,6271.84,6301.14,8712428.08
2018-09-10 12:00:00,6313,6318,6291.5,6296.98,8356988.63
2018-09-10 11:00:00,6306.02,6318.5,6278,6313,7072976.31
2018-09-10 10:00:00,6300.08,6320,6245,6306.02,10213063.84
2018-09-10 09:00:00,6301.83,6305,6262,6300.08,9551703.06
2018-09-10 08:00:00,6326.25,6342.08,6290,6301.83,5150608.21
2018-09-10 07:00:00,6332.1,6346.81,6315,6326.25,8033534.8
2018-09-10 06:00:00,6304.02,6334.47,6290,6332.1,7116120.09
2018-09-10 05:00:00,6281.65,6309.31,6280,6304.02,5519446.58
2018-09-10 04:00:00,6312.97,6314.02,6259,6281.65,8233045.78
2018-09-10 03:00:00,6321.23,6323.36,6288.48,6312.97,8804550.67
2018-09-10 02:00:00,6334.97,6354.82,6312.99,6321.23,4821420.61
2018-09-10 01:00:00,6262.63,6373.98,6262.63,6334.97,7830898.76
2018-09-10 00:00:00,6250.81,6279.78,6246.39,6262.63,13060400.18
2018-09-09 23:00:00,6252.91,6291,6235.08,6250.81,6331715.33
2018-09-09 22:00:00,6374.2,6376.96,6211,6252.91,15024767.47
2018-09-09 21:00:00,6392.39,6400,6368,6374.2,7407023.76
2018-09-09 20:00:00,6384.19,6400,6378.66,6392.39,6861753.46
2018-09-09 19:00:00,6377.52,6394.99,6373.03,6384.19,6453003.16
2018-09-09 18:00:00,6377.25,6396.28,6373.49,6377.52,8513851.02
2018-09-09 17:00:00,6382.6,6388.18,6366.42,6377.25,5138766.28
2018-09-09 16:00:00,6369.05,6387.12,6360.33,6382.6,10683892.28
2018-09-09 15:00:00,6380.69,6390,6352.74,6369.05,7918795.71
2018-09-09 14:00:00,6398.82,6423.81,6375.43,6380.69,9299765.15
2018-09-09 13:00:00,6392.6,6436,6385.17,6398.82,14150560.9
2018-09-09 12:00:00,6377.77,6396,6370.22,6392.6,9587033.08
2018-09-09 11:00:00,6359.97,6387.56,6354.76,6377.77,7886842.89
2018-09-09 10:00:00,6382.71,6397.79,6342,6359.97,10229414.72
2018-09-09 09:00:00,6195.9,6441,6188,6382.71,21381372.49
2018-09-09 08:00:00,6187.83,6196.96,6181.55,6195.9,9627263.59
2018-09-09 07:00:00,6185.99,6193.11,6176.88,6187.83,11656530.28
2018-09-09 06:00:00,6180.18,6199.05,6180.18,6185.99,6108301.29
2018-09-09 05:00:00,6171.5,6190,6170.29,6180.18,5795883.51
2018-09-09 04:00:00,6171.92,6190.69,6164.23,6171.5,7156865.02
2018-09-09 03:00:00,6160.99,6180,6141.53,6171.92,7131151.31
2018-09-09 02:00:00,6206,6206,6145,6160.99,9155810.21
2018-09-09 01:00:00,6175.4,6206,6173,6206,6588080.24
2018-09-09 00:00:00,6185.05,6190.71,6164,6175.4,6692108.23
2018-09-08 23:00:00,6180.03,6194.98,6167.38,6185.05,6783074.47
2018-09-08 22:00:00,6180,6206.88,6158.8,6180.03,10321803.62
2018-09-08 21:00:00,6168,6180.91,6153.25,6180,8856444.97
2018-09-08 20:00:00,6176.04,6185,6111,6168,14787163.41
2018-09-08 19:00:00,6186.29,6208,6150,6176.04,9873089.83
2018-09-08 18:00:00,6212.33,6215,6125,6186.29,21289729.44
2018-09-08 17:00:00,6368.07,6405.73,6165.58,6212.33,19952710.86
2018-09-08 16:00:00,6429.4,6434.11,6357,6368.07,9781341.55
2018-09-08 15:00:00,6404.03,6432.96,6385.99,6429.4,7554200.65
2018-09-08 14:00:00,6414.42,6417.18,6381.62,6404.03,8649394.56
2018-09-08 13:00:00,6407.31,6422.94,6385.2,6414.42,6493661.53
2018-09-08 12:00:00,6429.01,6431.43,6355.55,6407.31,12252330.81
2018-09-08 11:00:00,6459.11,6464.93,6418.03,6429.01,10570755.56
2018-09-08 10:00:00,6467.26,6471,6450,6459.11,6579880.71
2018-09-08 09:00:00,6464.56,6470,6440.05,6467.26,5119254.24
2018-09-08 08:00:00,6449.02,6478,6449.01,6464.56,9497171.35
2018-09-08 07:00:00,6444.01,6455,6440.06,6449.02,6974682.27
2018-09-08 06:00:00,6442.61,6468,6437.75,6444.01,8380846.77
2018-09-08 05:00:00,6432.11,6453.56,6420,6442.61,5434996.97
2018-09-08 04:00:00,6428.75,6433.88,6412,6432.11,4250952.42
2018-09-08 03:00:00,6444.18,6452,6414,6428.75,7660783.94
2018-09-08 02:00:00,6421.2,6459,6421.2,6444.18,6810082.21
2018-09-08 01:00:00,6432.6,6445.48,6415.51,6421.2,4291552.5
2018-09-08 00:00:00,6395.54,6448.21,6390.73,6432.6,7422176.54
2018-09-07 23:00:00,6398.01,6420.01,6380.01,6395.54,6859487.68
2018-09-07 22:00:00,6427.18,6428.59,6391,6398.01,4928185.89
2018-09-07 21:00:00,6457.15,6457.15,6410,6427.18,5227089.7
2018-09-07 20:00:00,6418.99,6460,6411.43,6457.15,8329124.96
2018-09-07 19:00:00,6417.11,6435.12,6400,6418.99,9262824.35
2018-09-07 18:00:00,6422.37,6436.85,6400.01,6417.11,10074282.0
2018-09-07 17:00:00,6438.79,6450,6386,6422.37,8367601.82
2018-09-07 16:00:00,6375.69,6477,6360,6438.79,13156785.97
2018-09-07 15:00:00,6415.82,6443.02,6350,6375.69,11946674.46
2018-09-07 14:00:00,6439.61,6480,6390,6415.82,12238363.08
2018-09-07 13:00:00,6428.2,6449,6418.11,6439.61,9679736.93
2018-09-07 12:00:00,6367,6448,6365.05,6428.2,15806995.22
2018-09-07 11:00:00,6363.05,6389.42,6340,6367,7669602.22
2018-09-07 10:00:00,6454.6,6458.37,6320,6363.05,18334206.25
2018-09-07 09:00:00,6446.92,6462,6430,6454.6,9013380.49
2018-09-07 08:00:00,6486.45,6489.23,6425.97,6446.92,9813288.32
2018-09-07 07:00:00,6465.92,6490.24,6464.02,6486.45,7167231.83
2018-09-07 06:00:00,6511.4,6536,6453.41,6465.92,11008569.75
2018-09-07 05:00:00,6485.98,6515.12,6485.98,6511.4,7482379.73
2018-09-07 04:00:00,6492.27,6496.78,6470,6485.98,10617586.28
2018-09-07 03:00:00,6499.98,6510,6490.01,6492.27,8213865.37
2018-09-07 02:00:00,6529.95,6544,6482.83,6499.98,15221669.95
2018-09-07 01:00:00,6494.08,6530.54,6491.28,6529.95,9790652.84
2018-09-07 00:00:00,6516.01,6516.84,6465,6494.08,9498188.46
2018-09-06 23:00:00,6474.68,6544,6470.33,6516.01,13434250.05
2018-09-06 22:00:00,6444.46,6476.17,6438.55,6474.68,7809624.74
2018-09-06 21:00:00,6453,6474.11,6428.03,6444.46,6520297.89
2018-09-06 20:00:00,6474.88,6474.88,6436.82,6453,8999622.56
2018-09-06 19:00:00,6424.59,6483,6414.05,6474.88,7492580.1
2018-09-06 18:00:00,6383,6450,6359,6424.59,9043348.67
2018-09-06 17:00:00,6428.46,6450,6362.5,6383,6610154.74
2018-09-06 16:00:00,6422.51,6458.15,6395,6428.46,14109100.42
2018-09-06 15:00:00,6478.04,6478.63,6401,6422.51,12595797.46
2018-09-06 14:00:00,6498.89,6533,6453.02,6478.04,14976752.63
2018-09-06 13:00:00,6403.02,6520,6388,6498.89,20435163.87
2018-09-06 12:00:00,6408.65,6419.91,6383,6403.02,10599442.58
2018-09-06 11:00:00,6379.25,6427.44,6375.23,6408.65,11494802.22
2018-09-06 10:00:00,6393.96,6415,6343.37,6379.25,14140635.51
2018-09-06 09:00:00,6433.97,6438.98,6286.05,6393.96,17096468.85
2018-09-06 08:00:00,6405.88,6450,6378.99,6433.97,7503148.76
2018-09-06 07:00:00,6418.67,6437,6381.06,6405.88,11782831.06
2018-09-06 06:00:00,6402.86,6448,6373.92,6418.67,12364867.57
2018-09-06 05:00:00,6442,6475,6352.74,6402.86,14979630.84
2018-09-06 04:00:00,6444.58,6476.46,6422,6442,12513673.35
2018-09-06 03:00:00,6471.99,6475,6411,6444.58,12968638.51
2018-09-06 02:00:00,6436.97,6511.55,6432.8,6471.99,23634444.9
2018-09-06 01:00:00,6462.03,6478.99,6405,6436.97,26449349.0
2018-09-06 00:00:00,6700,6725,6313.23,6462.03,51619924.76
2018-09-05 23:00:00,6909.42,6927.55,6682,6700,27091640.88
2018-09-05 22:00:00,6939.01,6940,6877,6909.42,11908496.32
2018-09-05 21:00:00,6968,6995,6925.03,6939.01,12006558.72
2018-09-05 20:00:00,6912.76,6968,6912.76,6968,13908668.34
2018-09-05 19:00:00,6923.63,6938,6885,6912.76,16984431.79
2018-09-05 18:00:00,6912.82,6937.85,6893,6923.63,14140430.23
2018-09-05 17:00:00,6916.65,6933.95,6860.25,6912.82,23033647.88
2018-09-05 16:00:00,6990.02,7000,6855,6916.65,25059600.06
2018-09-05 15:00:00,7017.18,7018.18,6934.29,6990.02,17489971.73
2018-09-05 14:00:00,7036.04,7040.98,6986.09,7017.18,15299379.85
2018-09-05 13:00:00,6986.75,7050,6967.62,7036.04,18918247.7
2018-09-05 12:00:00,6991.9,7037.95,6965,6986.75,25047425.07
2018-09-05 11:00:00,6992.26,7036.17,6934,6991.9,31788286.18
2018-09-05 10:00:00,7092.11,7180,6909,6992.26,43311900.55
2018-09-05 09:00:00,7383,7390.41,7078,7092.11,24965711.89
2018-09-05 08:00:00,7367.16,7393.59,7364.4,7383,8042652.77
2018-09-05 07:00:00,7381.11,7383.4,7363,7367.16,9481069.71
2018-09-05 06:00:00,7382.74,7397.3,7362,7381.11,10248557.59
2018-09-05 05:00:00,7367.19,7388,7365.84,7382.74,8062474.07
