date,open,high,low,close,Volume USDT,fng_value
2021-10-19 06:00:00,62476.66000000,62509.30000000,61986.85000000,62194.72000000,101060386.37201040,75
2021-10-19 07:00:00,62194.72000000,62340.00000000,61994.52000000,62297.06000000,70023919.32055920,75
2021-10-19 08:00:00,62297.06000000,62574.42000000,61743.61000000,62539.91000000,104156451.34633530,75
2021-10-19 09:00:00,62539.92000000,62548.06000000,61900.00000000,62139.09000000,77935280.67202030,75
2021-10-19 10:00:00,62139.09000000,62400.00000000,62043.80000000,62249.85000000,68398216.05733030,75
2021-10-19 11:00:00,62249.86000000,62337.41000000,62065.30000000,62128.39000000,60156167.01099570,75
2021-10-19 12:00:00,62128.39000000,62515.00000000,62000.00000000,62223.65000000,109043795.49593870,75
2021-10-19 13:00:00,62223.65000000,63278.61000000,62070.00000000,62604.41000000,399065928.53359073,75
2021-10-19 14:00:00,62604.41000000,62686.21000000,61322.22000000,62531.22000000,325949057.36615210,75
2021-10-19 15:00:00,62531.22000000,62800.00000000,62323.00000000,62395.99000000,132331000.10559030,75
2021-10-19 16:00:00,62395.99000000,63180.00000000,62311.02000000,63172.17000000,134008658.82684180,75
2021-10-19 17:00:00,63168.99000000,63480.00000000,63036.50000000,63411.27000000,186436076.17151932,75
2021-10-19 18:00:00,63411.26000000,63628.65000000,63081.37000000,63429.96000000,167106721.46411447,75
2021-10-19 19:00:00,63429.97000000,64299.00000000,63398.20000000,64177.15000000,287848707.75191195,75
2021-10-19 20:00:00,64170.58000000,64343.00000000,63801.00000000,64116.96000000,197875159.92247191,75
2021-10-19 21:00:00,64116.96000000,64192.31000000,63590.00000000,64067.70000000,128311786.94135170,75
2021-10-19 22:00:00,64067.71000000,64230.18000000,63827.99000000,64080.16000000,97809036.43595910,75
2021-10-19 23:00:00,64083.38000000,64486.00000000,63995.00000000,64280.59000000,99532594.88455334,75
2021-10-20 00:00:00,64280.59000000,64375.34000000,63982.76000000,64064.98000000,76629269.35481750,82
2021-10-20 01:00:00,64064.97000000,64192.61000000,63715.66000000,63822.57000000,83939041.68537330,82
2021-10-20 02:00:00,63822.57000000,63939.45000000,63699.60000000,63797.73000000,54554295.60227700,82
2021-10-20 03:00:00,63797.73000000,64041.96000000,63793.65000000,63844.67000000,67743657.97666900,82
2021-10-20 04:00:00,63844.67000000,64059.67000000,63767.24000000,64041.00000000,51176513.86249530,82
2021-10-20 05:00:00,64041.01000000,64043.96000000,63481.40000000,63779.41000000,98279263.10888360,82
2021-10-20 06:00:00,63779.42000000,64200.69000000,63695.46000000,63811.42000000,83631100.35217680,82
2021-10-20 07:00:00,63811.42000000,64099.99000000,63745.31000000,63999.97000000,54681676.74226780,82
